Screen Resolution	Browser	OS	Traffic Source	Combination Id	Converted	Returning Visitor	User Language	Country
Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	Greece
Extra Large	Chrome	Windows New	search_traffic	1	Yes	0	ru-ru	Cyprus
Medium	Mobile Safari	iOS	search_traffic	2	No	0	en-ca	Canada
Extra Large	Chrome	Mac OS X	search_traffic	1	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	ru-ru	Kazakhstan
Extra Large	Safari	Mac OS X	search_traffic	1	No	0	en-ca	Canada
Extra Small	Chrome Mobile iOS	iOS	unknown	2	No	0	en-us	India
Extra Large	Chrome	Windows Old	search_traffic	1	No	0	en-us	Nepal
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	Cameroon
Extra Small	Chrome Mobile	Android	unknown	2	No	0	en-us	Europe
Extra Large	Chrome	Mac OS X	search_traffic	2	No	0	en-us	Australia
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	India
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Other
Extra Small	UC Browser	Android	search_traffic	1	No	0	en-us	India
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	Nepal
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	Canada
Extra Large	Firefox	Windows New	unknown	2	Yes	0	en-us	Finland
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	Brazil
Extra Small	Chrome Mobile	Android	unknown	2	No	0	en-gb	Pakistan
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	Turkey
Extra Large	Chrome	Windows New	search_traffic	2	No	0	ru-ru	Other
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	Indonesia
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Other
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	India
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	India
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	Ghana
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	ru-ru	Kazakhstan
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile iOS	iOS	unknown	2	No	0	en-us	South Africa
Extra Large	Chrome	Windows New	search_traffic	1	No	0	ru-ru	Kazakhstan
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	Bangladesh
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	Brazil
Extra Large	Safari	Mac OS X	unknown	2	No	0	en-us	United Kingdom
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	Nepal
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	Other
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-gb	India
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Germany
Extra Small	Opera Mini	Android	direct_traffic	1	No	0	en	United States
Extra Large	Chrome	Mac OS X	search_traffic	1	No	0	en-us	Canada
Extra Large	Chrome	Mac OS X	search_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Large	Chrome	Windows New	search_traffic	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	unknown	1	No	0	en-gb	Russian Federation
Extra Large	Firefox	Windows New	unknown	2	No	0	fr	Cameroon
Large	Chrome	Windows New	search_traffic	1	No	0	Other	Bulgaria
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Large	IE	Windows New	search_traffic	2	No	0	en-us	Nepal
Extra Large	Safari	Mac OS X	search_traffic	1	No	0	en-ca	Canada
Extra Small	Chrome Mobile iOS	iOS	search_traffic	2	No	0	en-gb	Ireland
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	ru-ru	Other
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	India
Extra Small	Chrome Mobile iOS	iOS	unknown	2	Yes	0	en-us	United States
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	Brazil
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	Brazil
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	India
Large	Chrome	Mac OS X	unknown	2	No	0	zh-tw	Taiwan
Extra Large	Chrome	Windows New	unknown	1	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	1	No	0	es-es	Spain
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	United Kingdom
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	United Kingdom
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	2	No	0	ar	Iraq
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Bangladesh
Extra Small	Chrome Mobile iOS	iOS	unknown	1	No	0	en-us	Pakistan
Extra Large	Firefox	Windows New	search_traffic	1	No	0	en-us	Greece
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	fr	France
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-ca	Canada
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	Netherlands
Extra Small	Chrome Mobile	Android	unknown	2	No	0	en-us	Canada
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	India
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	direct_traffic	1	No	0	en-us	Serbia
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Canada
Extra Large	Chrome	Mac OS X	unknown	2	No	0	en-us	Canada
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	United Kingdom
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-gb	United Kingdom
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	India
